time,signal
1.09751E-08,0.067099005
1.09851E-08,0.066859789
1.09951E-08,0.06662143
1.10051E-08,0.066383921
1.10151E-08,0.066147253
1.10251E-08,0.065911435
1.10351E-08,0.065676451
1.10451E-08,0.065442309
1.10551E-08,0.065209001
1.10651E-08,0.064976528
1.10751E-08,0.064744875
1.10851E-08,0.064514056
1.10951E-08,0.064284056
1.11051E-08,0.064054877
1.11151E-08,0.063826516
1.11251E-08,0.063598968
1.11351E-08,0.063372232
1.11451E-08,0.063146308
1.11551E-08,0.062921189
1.11651E-08,0.062696867
1.11751E-08,0.062473346
1.11851E-08,0.062250622
1.11951E-08,0.062028695
1.12051E-08,0.061807554
1.12151E-08,0.061587207
1.12251E-08,0.061367642
1.12351E-08,0.061148863
1.12451E-08,0.060930859
1.12551E-08,0.060713638
1.12651E-08,0.060497187
1.12751E-08,0.060281508
1.12851E-08,0.060066599
1.12951E-08,0.059852459
1.13051E-08,0.059639078
1.13151E-08,0.05942646
1.13251E-08,0.059214599
1.13351E-08,0.059003495
1.13451E-08,0.058793139
1.13551E-08,0.058583539
1.13651E-08,0.058374681
1.13751E-08,0.058166571
1.13851E-08,0.057959203
1.13951E-08,0.057752572
1.14051E-08,0.057546679
1.14151E-08,0.05734152
1.14251E-08,0.057137091
1.14351E-08,0.056933392
1.14451E-08,0.056730419
1.14551E-08,0.056528173
1.14651E-08,0.056326643
1.14751E-08,0.056125835
1.14851E-08,0.055925742
1.14951E-08,0.055726361
1.15051E-08,0.055527691
1.15151E-08,0.055329729
1.15251E-08,0.055132475
1.15351E-08,0.054935921
1.15451E-08,0.054740071
1.15551E-08,0.054544918
1.15651E-08,0.054350462
1.15751E-08,0.054156695
1.15851E-08,0.053963624
1.15951E-08,0.053771239
1.16051E-08,0.053579539
1.16151E-08,0.053388521
1.16251E-08,0.053198189
1.16351E-08,0.05300853
1.16451E-08,0.05281955
1.16551E-08,0.052631244
1.16651E-08,0.052443609
1.16751E-08,0.052256644
1.16851E-08,0.052070342
1.16951E-08,0.051884707
1.17051E-08,0.051699735
1.17151E-08,0.051515419
1.17251E-08,0.051331762
1.17351E-08,0.051148761
1.17451E-08,0.050966412
1.17551E-08,0.050784711
1.17651E-08,0.050603658
1.17751E-08,0.050423253
1.17851E-08,0.050243489
1.17951E-08,0.050064366
1.18051E-08,0.049885884
1.18151E-08,0.049708035
1.18251E-08,0.049530823
1.18351E-08,0.04935424
1.18451E-08,0.049178287
1.18551E-08,0.049002964
1.18651E-08,0.048828263
1.18751E-08,0.048654184
1.18851E-08,0.048480727
1.18951E-08,0.048307892
1.19051E-08,0.048135668
1.19151E-08,0.047964059
1.19251E-08,0.047793064
1.19351E-08,0.047622677
1.19451E-08,0.047452901
1.19551E-08,0.047283724
1.19651E-08,0.047115155
1.19751E-08,0.046947185
1.19851E-08,0.046779815
1.19951E-08,0.046613038
1.20051E-08,0.04644686
1.20151E-08,0.046281271
1.20251E-08,0.046116274
1.20351E-08,0.045951866
