Point,Corner,VINCM,temperature,c018hv32v.scs,c018hv32v.scs:1,c018hv32v.scs:2,c018hv32v.scs:3,c018hv32v.scs:4,c018hv32v.scs:5,c018hv32v.scs:6,c018hv32v.scs:7,c018hv32v.scs:8,c018hv32v.scs:9,c018hv32v.scs:10,c018hv32v.scs:11,c018hv32v.scs:12,c018hv32v.scs:13,Pass/Fail,ac_mag,ac_phase,acVal_Av,acVal_f3dB,acVal_Av0,acVal_Av1,acVal_Av2,dcVal_voutCM0,dcVal_voutCM1,dcVal_voutCM2,dcVal_voutCM3,dcVal_voutCM4,dcVal_voutCM
3,sf_HiT,700e-3,125,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,196.8,24e6,2.395,2.415,2.41,578.8e-3,666.2e-3,607.3e-3,649.6e-3,620.2e-3,641.2e-3
2,sf_HiT,600e-3,125,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,199.1,24.03e6,2.418,2.413,2.418,654.1e-3,616.8e-3,643.5e-3,624.8e-3,638.1e-3,628.7e-3
4,fs_LoT,800e-3,-55,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,pass,,,199.5,26.58e6,1.958,2.542,2.41,252.3e-3,643e-3,440.3e-3,607.3e-3,479.1e-3,587.5e-3
1,ss_MidT,500e-3,27,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,200.3,21.52e6,2.504,2.347,2.507,655.3e-3,491.4e-3,662.7e-3,482.6e-3,670.2e-3,473.7e-3
4,ss_LoT,800e-3,-55,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,203.9,20.3e6,2.257,2.927,1.996,292e-3,848.9e-3,221.9e-3,860.7e-3,205.7e-3,862.6e-3
3,tt_MidT,700e-3,27,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,207.1,25.1e6,2.342,2.474,2.407,476.4e-3,648.3e-3,528.7e-3,622.9e-3,552.2e-3,608e-3
2,ss_MidT,600e-3,27,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,215.1,21.49e6,2.426,2.471,2.422,554.8e-3,603e-3,551.5e-3,606.3e-3,547.8e-3,610e-3
1,tt_MidT,500e-3,27,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,217.4,25.14e6,2.476,2.417,2.473,638.1e-3,538.3e-3,617e-3,557.4e-3,604.5e-3,568.2e-3
2,tt_MidT,600e-3,27,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,219.1,25.1e6,2.447,2.462,2.451,572e-3,594e-3,576.9e-3,590.3e-3,579.8e-3,588.1e-3
3,fs_LoT,700e-3,-55,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,pass,,,240.3,26.56e6,2.282,2.59,2.438,373.9e-3,627.7e-3,457.2e-3,599.5e-3,487.2e-3,582.6e-3
2,fs_LoT,600e-3,-55,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,pass,,,269.2,26.55e6,2.483,2.587,2.506,486.7e-3,582.9e-3,504e-3,571.4e-3,515.1e-3,563.3e-3
1,fs_LoT,500e-3,-55,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,pass,,,275.2,26.56e6,2.581,2.517,2.574,574.1e-3,512.5e-3,565.2e-3,520.9e-3,558.9e-3,526.8e-3
1,ss_LoT,500e-3,-55,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,319.8,19.96e6,3.019,2.599,3.023,717.2e-3,416.9e-3,794e-3,300.9e-3,846.8e-3,224.8e-3
5,sf_MidT,900e-3,27,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,319.9,22.47e6,2.282,2.64,2.604,341.4e-3,783.1e-3,496.5e-3,753.8e-3,533.4e-3,737.7e-3
3,ss_LoT,700e-3,-55,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,334.9,20.13e6,2.656,3.03,2.38,443e-3,773.4e-3,331.7e-3,838e-3,237.2e-3,858.6e-3
5,tt_LoT,900e-3,-55,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,344,23.26e6,1.997,2.799,2.613,215.2e-3,761e-3,411.8e-3,738e-3,444.4e-3,728.7e-3
4,sf_MidT,800e-3,27,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,386.1,22.41e6,2.569,2.748,2.646,474.7e-3,760.9e-3,524.5e-3,742.1e-3,547.8e-3,729.9e-3
1,sf_MidT,500e-3,27,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,412.2,22.43e6,2.763,2.66,2.779,752.5e-3,535e-3,736.9e-3,554e-3,726.2e-3,566.7e-3
